m|sigma|e|k_ab|e_ab|mu|na|nb|inchi|smiles
3.418856382369995|4.000821590423584|252.6647186279297|0.012916498002153115|1253.8081173260948|0.0|2.0|2.0|InChI=1S/C7H18N2/c8-6-4-2-1-3-5-7-9/h1-9H2|NCCCCCCCN
5.733966827392578|3.5793159008026123|264.2872619628906|0.019596198766219944|2684.7984346920775|0.0|2.0|0.0|InChI=1S/C12H16O2/c1-12(2,3)10-7-5-9(6-8-10)11(13)14-4/h5-8H,1-4H3|COC(=O)c1ccc(C(C)(C)C)cc1
3.3615469932556152|3.742140769958496|315.24554443359375|0.0|0.0|0.0|0.0|0.0|InChI=1S/C7H6Cl2/c1-5-2-3-6(8)4-7(5)9/h2-4H,1H3|Cc1ccc(Cl)cc1Cl
8.276442527770996|3.7716658115386963|219.27133178710938|0.000765363068636418|4603.110143106771|0.0|4.0|0.0|InChI=1S/C15H30N3.C2N3/c1-7-16(8-2)13-14(17(9-3)10-4)15(13)18(11-5)12-6;3-1-5-2-4/h7-12H2,1-6H3;/q+1;-1|CCN(CC)c1c(N(CC)CC)c1=[N+](CC)CC.N#C[N-]C#N
6.720020294189453|4.0360870361328125|258.4346618652344|0.0011921748619153525|2418.1044998613484|0.0|1.0|1.0|InChI=1S/C17H36O/c1-3-5-7-9-11-13-15-17(18)16-14-12-10-8-6-4-2/h17-18H,3-16H2,1-2H3|CCCCCCCCC(O)CCCCCCCC
5.1167497634887695|4.00268030166626|379.27569580078125|0.03936360989818109|1613.655708762677|0.0|3.0|1.0|InChI=1S/C8H15N2.C3H7NO2/c1-3-4-5-10-7-6-9(2)8-10;1-2(4)3(5)6/h6-8H,3-5H2,1-2H3;2H,4H2,1H3,(H,5,6)/q+1;/p-1/t;2-/m.0/s1|CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-]
3.574401378631592|3.8575875759124756|287.3850402832031|0.023270957645024883|1660.0271260436996|0.0|1.0|0.0|InChI=1S/C9H13N/c1-10(2)8-9-6-4-3-5-7-9/h3-7H,8H2,1-2H3|CN(C)Cc1ccccc1
6.59562349319458|4.106177806854248|324.41864013671875|0.0012030657521948764|3914.2838941668883|0.0|1.0|0.0|InChI=1S/C6F18P.C6H11N2/c7-1(8,9)4(16,17)25(22,23,24,5(18,19)2(10,11)12)6(20,21)3(13,14)15;1-3-8-5-4-7(2)6-8/h;4-6H,3H2,1-2H3/q-1;+1|CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
5.318490028381348|3.7832956314086914|263.6412048339844|0.0023136218822512023|2817.2137749585086|0.0|1.0|1.0|InChI=1S/C11H24O/c1-2-3-4-5-6-7-8-9-10-11-12/h12H,2-11H2,1H3|CCCCCCCCCCCO
5.747929096221924|3.6307373046875|308.1956481933594|0.00017461101166488095|1033.7998941942574|0.0|4.0|1.0|InChI=1S/C8H15N2.H2O4S/c1-4-5-10-7-6-9(3)8(10)2;1-5(2,3)4/h6-7H,4-5H2,1-3H3;(H2,1,2,3,4)/q+1;/p-1|CCCn1cc[n+](C)c1C.O=S(=O)([O-])O
4.391282081604004|3.5351784229278564|239.39553833007812|0.0001137546084369311|2271.790626519285|0.0|2.0|0.0|InChI=1S/C7H14O2/c1-3-5-6-7(8)9-4-2/h3-6H2,1-2H3|CCCCC(=O)OCC
4.802750587463379|3.5429606437683105|260.3892517089844|0.06596595349225404|939.7889379909668|0.0|3.0|1.0|InChI=1S/C7H16O3/c1-2-4-9-6-7-10-5-3-8/h8H,2-7H2,1H3|CCCOCCOCCO
4.6635518074035645|4.167385101318359|386.5765380859375|0.006069858512960534|1996.9726812087972|0.0|2.0|0.0|InChI=1S/C10H16N3.BrH/c1-2-3-6-12-8-9-13(10-12)7-4-5-11;/h8-10H,2-4,6-7H2,1H3;1H/q+1;/p-1|CCCC[n+]1ccn(CCC#N)c1.[Br-]
2.8525655269622803|3.3803842067718506|329.0855712890625|0.005414548286427216|2150.4072884367333|0.0|2.0|0.0|InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2|O=C1CCCO1
3.662538528442383|4.284905910491943|300.1129150390625|0.014149372054316819|1822.3320283182513|0.0|1.0|1.0|InChI=1S/C10H23N/c1-2-3-4-5-6-7-8-9-10-11/h2-11H2,1H3|CCCCCCCCCCN
5.890110015869141|3.8157742023468018|363.5365905761719|0.0031576354699922485|1628.0849977157577|0.0|4.0|0.0|InChI=1S/C9H17N2.NO3/c1-3-4-5-6-11-8-7-10(2)9-11;2-1(3)4/h7-9H,3-6H2,1-2H3;/q+1;-1|CCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-]
4.7368950843811035|3.5398876667022705|228.80596923828125|0.0005405166379648958|357.98078058421027|0.0|3.0|0.0|InChI=1S/C7H16O3/c1-4-8-7(9-5-2)10-6-3/h7H,4-6H2,1-3H3|CCOC(OCC)OCC
5.1269073486328125|3.831277370452881|294.6746520996094|0.0025151227580021015|2012.0651296533526|0.0|3.0|0.0|InChI=1S/C8H15N2.CHNS/c1-4-5-10-7-6-9(3)8(10)2;2-1-3/h6-7H,4-5H2,1-3H3;3H/q+1;/p-1|CCCn1cc[n+](C)c1C.N#C[S-]
5.423600673675537|3.6579179763793945|248.78985595703125|0.0003032022141775855|3613.2046540307724|0.0|2.0|0.0|InChI=1S/C10H20O2/c1-3-4-5-6-7-8-9-10(11)12-2/h3-9H2,1-2H3|CCCCCCCCC(=O)OC
4.347314834594727|3.585160970687866|292.4438781738281|0.00014927428663867012|2937.7621050285834|0.0|2.0|1.0|InChI=1S/C8H10O2/c9-6-7-10-8-4-2-1-3-5-8/h1-5,9H,6-7H2|OCCOc1ccccc1
6.363256931304932|3.8893277645111084|266.4936828613281|0.0|0.0|0.0|0.0|0.0|InChI=1S/C14H29Cl/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15/h2-14H2,1H3|CCCCCCCCCCCCCCCl
4.489632606506348|4.024204730987549|357.6998596191406|0.012397829004074582|2258.2470321095725|0.0|1.0|0.0|InChI=1S/C9H17N2.BrH/c1-3-4-5-6-11-8-7-10(2)9-11;/h7-9H,3-6H2,1-2H3;1H/q+1;/p-1|CCCCCn1cc[n+](C)c1.[Br-]
4.4689249992370605|3.5014069080352783|290.34918212890625|0.00010240263376542997|3703.981785188897|0.0|1.0|1.0|InChI=1S/C9H12O/c10-8-4-7-9-5-2-1-3-6-9/h1-3,5-6,10H,4,7-8H2|OCCCc1ccccc1
3.0954437255859375|3.235836982727051|280.55523681640625|0.01001389607158292|1961.3381286865194|0.0|1.0|0.0|InChI=1S/C3H5ClO/c4-1-3-2-5-3/h3H,1-2H2|ClCC1CO1
